divipola_key;numero_contratos;inversion_publica_total
52621;2;41650064
54599;4;40200000
23815;5;38710000
25524;3;37397600
70124;1;36000000
70820;1;36000000
70678;1;36000000
52565;5;34522320
25368;7;34159770
54670;4;28800000
66594;1;28673764
05885;1;27995463
25281;4;27303600
25123;1;26494688
52418;3;26002300
23417;3;21500000
27006;1;19800000
05125;1;13729000
25518;1;13090000
05059;2;11318500
41799;1;10200000
73622;3;7975000
05819;2;7200000
13473;1;7000000
41797;1;6950900
70233;1;6870720
05495;1;5587995
47570;1;4640000
47541;1;4500000
41206;1;4200000
70702;1;4200000
27425;1;2000000
20517;1;1600000
73152;1;1000000
13810;1;1
13600;2;0
