anio_key,nombre_departamento,divipola_departamento,HHI_promedio,HHI_mediana,mercados,total_contratos,inversion_total
2023,Cundinamarca,25,1165.0825600815715,705.0443450710336,140,62536,4515670829322
2023,Santander,68,1157.1313686738663,639.315289276878,100,55638,4071130016593
2023,Valle del Cauca,76,1027.3117608738225,461.04767876981714,57,93211,5522340660599
2023,Caldas,17,1015.384828606776,516.831179411001,34,20789,1074588023163
2023,Norte de Santander,54,962.9900330005411,566.3679865111669,45,31687,2106059194966
2023,Huila,41,899.7713435906924,620.2127526925119,45,23372,1262916387485
2023,Guainía,94,875.9761972600854,934.5202922520887,3,2667,314395907835
2023,Guaviare,95,793.9418431478261,871.9318164662178,6,5004,360406420314
2023,Risaralda,66,700.4914523181484,441.4020152948932,18,22781,1744708342900
2023,Vichada,99,553.0871995190366,374.45555111721495,5,5219,369115570244
2023,Quindío,63,437.3526360760516,312.09507033799133,13,22497,749969618175
2024,La Guajira,44,2619.4652637472054,1336.260424852713,23,7250,1197399826049
2024,Arauca,81,1982.9557817251725,1098.2170594884508,11,3954,537148254938
2024,Chocó,27,1597.066476042902,866.2707255928165,28,6456,833182881241
2024,Magdalena,47,1467.6376877632283,550.0809384312313,35,30805,1845065533674
2024,Cauca,19,1412.0531552756606,587.2680215793448,47,25487,2023739437636
2024,Nariño,52,1366.608848796798,396.8100446740921,71,44570,1542688134286
2024,Boyacá,15,1294.9967795454716,639.6617375442681,145,36887,2432162134816
2024,Putumayo,86,1292.3878142223584,753.5522201122473,17,9311,419392589488
2024,Huila,41,1255.6828738253266,559.182981463949,47,21701,967752912850
2024,Norte de Santander,54,1200.4932913910177,560.3270245134556,46,31634,2132321942253
2024,Antioquia,05,1191.4708678140387,664.1104208165128,157,98625,16552386622152
2024,Bolívar,13,1185.530031488387,582.0986813660492,52,36391,3937037110415
2024,Caldas,17,1145.4851019640573,386.5627576175734,34,20860,3402561008278
2024,Córdoba,23,1132.7007399337224,801.4436983633896,32,11802,2419506659578
2024,Atlántico,08,1115.4874319546745,864.0199030269428,30,27115,7995404821056
2024,Vaupés,97,1111.9470275577544,956.8024151615634,4,2289,317163132472
2024,Meta,50,1110.2632064984202,465.7374818253945,37,28484,1767766404278
2024,Guainía,94,1035.7650393832675,822.1223311120519,3,3191,306174239324
2024,Guaviare,95,1023.4870401936449,425.74043545569737,7,5642,299469500729
2024,Valle del Cauca,76,987.4298264716309,404.24855261184666,59,89570,5461743133374
2024,Tolima,73,983.9383483339236,426.26648110338624,58,31424,1736676420778
2024,Caquetá,18,921.9928564139656,577.2765286249753,18,5344,431147410159
2024,Cundinamarca,25,839.1153270473601,360.09842674577277,143,60660,3505091862814
2024,Sucre,70,765.4287905562652,571.2388280881343,29,12694,1668510915602
2024,Santander,68,741.5515061451374,425.83526960416424,96,51475,3602909036389
2024,Cesar,20,678.205093513259,400.374932335244,30,13881,1238688893387
2024,Vichada,99,555.8121611633082,377.4140677578903,5,3719,268500593962
2024,Risaralda,66,481.75049677894316,368.78757065464106,18,22995,1339408389010
2024,Casanare,85,478.83006514510976,358.1783526864366,22,19667,984866636991
2024,Quindío,63,474.92029286827113,447.7271414759301,13,16037,658380302660
2024,Amazonas,91,462.85587010339407,422.42948202118384,4,5037,282519379421
2024,Bogotá,11,240.7801356519296,60.83167219627452,3,169567,34821915452508
2025,Putumayo,86,3410.659189874304,1162.3362141357863,21,10271,997029400491
2025,Chocó,27,2221.6833300071276,1195.2753042330041,28,5941,914726846429
2025,La Guajira,44,2210.5416025513823,877.1213613556267,21,8522,2077307230581
2025,Córdoba,23,2135.892230774726,1161.5231255948056,34,13164,2808219589183
2025,Risaralda,66,1980.5659067076472,615.1440335021225,20,22154,2886342315609
2025,Arauca,81,1968.819448670684,889.3107831896092,9,4781,660460201237
2025,Bolívar,13,1954.4235881639252,904.0614724788669,52,38115,5617818774787
2025,Meta,50,1834.4158940287296,584.6782312328127,39,31989,2837177756187
2025,Magdalena,47,1816.831421176106,1165.4403370327127,35,41232,4373894111859
2025,Atlántico,08,1738.173483583712,684.3754864020411,32,34266,5520224581453
2025,Antioquia,05,1722.7509170223525,1011.4250423127082,160,113832,23640607992169
2025,Cesar,20,1626.6319006256779,986.3288178364554,31,15433,2136883092323
2025,Cauca,19,1616.6743486414337,620.8015976933724,51,28172,2682961659925
2025,Caquetá,18,1598.4676396134219,787.6274656948004,19,5341,555380669462
2025,Boyacá,15,1576.9369246538179,724.3033299911372,149,39333,6644850660092
2025,Casanare,85,1484.088701840055,507.86408427459503,22,20517,4335358206903
2025,Guainía,94,1440.0627551253053,1669.2652946717417,3,3308,747293620862
2025,Nariño,52,1418.7826332446914,786.178334588703,70,49054,2247030306652
2025,Huila,41,1356.2760674043168,682.8385958971136,48,22377,1656583779515
2025,Quindío,63,1337.0156969967752,539.3483235594657,13,20084,1548857129869
2025,Valle del Cauca,76,1310.0494718301206,554.4734044220729,61,106932,9090843687666
2025,Tolima,73,1186.5974261269064,482.83965042060055,61,33436,2125866791998
2025,Norte de Santander,54,1145.2937560073435,516.8190693453508,47,36051,3079743211972
2025,Bogotá,11,1116.3055759085762,277.1140040647211,3,172012,52462617806972
2025,Sucre,70,1082.0501724079702,650.0985286328353,28,12626,1301106128597
2025,Vaupés,97,1062.47638189365,892.4174508778899,4,2317,307254400415
2025,Santander,68,1036.249417387117,528.0716748888925,99,56220,4505212593876
2025,Caldas,17,930.4438537017381,415.6075324078448,34,19033,1626027428800
2025,Guaviare,95,912.711199442453,352.1442134011313,7,5840,423744243841
2025,Cundinamarca,25,864.020923117933,407.9558611445584,144,59435,4568721974971
2025,Vichada,99,663.2017267654944,615.0425293937884,5,4762,420849428226
2025,Amazonas,91,465.2353813693131,409.33548300451776,4,5082,381932969056
2026,Atlántico,08,2824.149052299561,920.9245210250051,31,19924,2409301231802
2026,Chocó,27,2695.7685560578457,872.7106751424818,19,2048,275007859309
2026,Magdalena,47,2053.977019407231,908.1528067771425,34,14826,705830369981
2026,La Guajira,44,1885.027481523736,680.458205777375,20,4498,714919562613
2026,Boyacá,15,1816.1420050338966,894.853944761202,143,18804,1156454685013
2026,Antioquia,05,1747.1643833134679,868.2378427187549,153,53117,5063936200945
2026,Guaviare,95,1714.8238746654401,258.8691330894445,7,2361,110792979805
2026,Meta,50,1686.766528988024,620.1964905941231,37,14144,775051398596
2026,Sucre,70,1678.7556107867445,1207.549590815481,28,5640,359721806403
2026,Córdoba,23,1674.6118595508094,1285.8562493815493,33,6031,812700523117
2026,Risaralda,66,1669.2489329047523,540.3435290846945,19,13545,808134283459
2026,Bolívar,13,1590.2800430760217,743.2331504828937,52,21154,1416261961048
2026,Cesar,20,1423.1222103306145,910.9689698737193,29,8094,624663823712
2026,Caquetá,18,1411.9532946655181,773.9029467480535,19,2524,118242823009
2026,Cauca,19,1390.0662804823767,802.8619638730402,44,12873,6346962809082
2026,Bogotá,11,1305.109179987746,925.6119084868573,3,97765,19192246813632
2026,Huila,41,1288.4086428711605,617.9288173178848,48,9995,483132072252
2026,Norte de Santander,54,1280.1375862738118,741.4222889230962,45,19082,826644737391
2026,Valle del Cauca,76,1220.4274976904428,484.230914931631,59,43829,2265999672068
2026,Tolima,73,1105.9699839139453,517.0462105404072,56,16925,687484868189
2026,Caldas,17,1051.199977220955,545.1214062060968,33,8034,479968950344
2026,Putumayo,86,1042.8416679776374,903.2531537809929,15,3446,200743599846
2026,Cundinamarca,25,998.3844940331685,375.4811904616396,142,33949,1537695499067
2026,Casanare,85,960.9222357654103,401.6190530891498,22,9644,526376221348
2026,Arauca,81,956.079941133911,526.2895969431515,8,1805,78722577280
2026,Nariño,52,928.9775211439111,717.4559064931067,67,15521,552409450914
2026,Vichada,99,893.3561419620197,982.2173607905711,5,2623,169301214045
2026,Santander,68,884.4569953076078,498.51759817045075,97,25918,1287231866201
2026,Vaupés,97,690.5322926440508,677.8086935679498,4,1255,101722511334
2026,Amazonas,91,628.6416149505259,238.00973573743067,4,3057,87433120575
2026,Quindío,63,517.5282859701127,437.9237347947302,13,9988,238627217868
2026,Guainía,94,494.9107802456799,252.44062203918568,3,1573,99773854114
