divipola_municipio,nombre_municipio,nombre_departamento,region,categoria
15218,Covarachía,Boyacá,Andina,Sexta
15223,Cubará,Boyacá,Andina,Sexta
15224,Cucaita,Boyacá,Andina,Sexta
15226,Cuítiva,Boyacá,Andina,Sexta
15232,Chíquiza,Boyacá,Andina,Sexta
15236,Chivor,Boyacá,Andina,Sexta
15238,Duitama,Boyacá,Andina,Sexta
15244,El Cocuy,Boyacá,Andina,Sexta
15248,El Espino,Boyacá,Andina,Sexta
15272,Firavitoba,Boyacá,Andina,Sexta
15276,Floresta,Boyacá,Andina,Sexta
15293,Gachantivá,Boyacá,Andina,Sexta
15296,Gameza,Boyacá,Andina,Sexta
15299,Garagoa,Boyacá,Andina,Sexta
15317,Guacamayas,Boyacá,Andina,Sexta
15322,Guateque,Boyacá,Andina,Sexta
15325,Guayatá,Boyacá,Andina,Sexta
15332,Güicán,Boyacá,Andina,Sexta
15362,Iza,Boyacá,Andina,Sexta
15367,Jenesano,Boyacá,Andina,Sexta
15368,Jericó,Boyacá,Andina,Sexta
15377,Labranzagrande,Boyacá,Andina,Sexta
15380,La Capilla,Boyacá,Andina,Sexta
15401,La Victoria,Boyacá,Andina,Sexta
15403,La Uvita,Boyacá,Andina,Sexta
15407,Villa de Leyva,Boyacá,Andina,Sexta
15425,Macanal,Boyacá,Andina,Sexta
15442,Maripí,Boyacá,Andina,Sexta
15455,Miraflores,Boyacá,Andina,Sexta
15464,Mongua,Boyacá,Andina,Sexta
15466,Monguí,Boyacá,Andina,Sexta
15469,Moniquirá,Boyacá,Andina,Sexta
15476,Motavita,Boyacá,Andina,Sexta
15480,Muzo,Boyacá,Andina,Sexta
15491,Nobsa,Boyacá,Andina,Sexta
15494,Nuevo Colón,Boyacá,Andina,Sexta
15500,Oicatá,Boyacá,Andina,Sexta
15507,Otanche,Boyacá,Andina,Sexta
15511,Pachavita,Boyacá,Andina,Sexta
15514,Páez,Boyacá,Andina,Sexta
15516,Paipa,Boyacá,Andina,Sexta
15518,Pajarito,Boyacá,Andina,Sexta
15522,Panqueba,Boyacá,Andina,Sexta
15531,Pauna,Boyacá,Andina,Sexta
15533,Paya,Boyacá,Andina,Sexta
15537,Paz de Río,Boyacá,Andina,Sexta
15542,Pesca,Boyacá,Andina,Sexta
15550,Pisba,Boyacá,Andina,Sexta
15572,Puerto Boyacá,Boyacá,Andina,Sexta
15580,Quípama,Boyacá,Andina,Sexta
15599,Ramiriquí,Boyacá,Andina,Sexta
15600,Ráquira,Boyacá,Andina,Sexta
15621,Rondón,Boyacá,Andina,Sexta
15632,Saboyá,Boyacá,Andina,Sexta
15638,Sáchica,Boyacá,Andina,Sexta
15646,Samacá,Boyacá,Andina,Sexta
15660,San Eduardo,Boyacá,Andina,Sexta
15664,San José de Pare,Boyacá,Andina,Sexta
15667,San Luis de Gaceno,Boyacá,Andina,Sexta
15673,San Mateo,Boyacá,Andina,Sexta
15676,San Miguel de Sema,Boyacá,Andina,Sexta
15681,San Pablo de Borbur,Boyacá,Andina,Sexta
15686,Santana,Boyacá,Andina,Sexta
15690,Santa María,Boyacá,Andina,Sexta
15693,Santa Rosa de Viterbo,Boyacá,Andina,Sexta
15696,Santa Sofía,Boyacá,Andina,Sexta
15720,Sativanorte,Boyacá,Andina,Sexta
15723,Sativasur,Boyacá,Andina,Sexta
15740,Siachoque,Boyacá,Andina,Sexta
15753,Soatá,Boyacá,Andina,Sexta
15755,Socotá,Boyacá,Andina,Sexta
15757,Socha,Boyacá,Andina,Sexta
15759,Sogamoso,Boyacá,Andina,Sexta
15761,Somondoco,Boyacá,Andina,Sexta
15762,Sora,Boyacá,Andina,Sexta
15763,Sotaquirá,Boyacá,Andina,Sexta
15764,Soracá,Boyacá,Andina,Sexta
15774,Susacón,Boyacá,Andina,Sexta
15776,Sutamarchán,Boyacá,Andina,Sexta
15778,Sutatenza,Boyacá,Andina,Sexta
15790,Tasco,Boyacá,Andina,Sexta
15798,Tenza,Boyacá,Andina,Sexta
15804,Tibaná,Boyacá,Andina,Sexta
15806,Tibasosa,Boyacá,Andina,Sexta
15808,Tinjacá,Boyacá,Andina,Sexta
15810,Tipacoque,Boyacá,Andina,Sexta
15814,Toca,Boyacá,Andina,Sexta
15816,Togüí,Boyacá,Andina,Sexta
15820,Tópaga,Boyacá,Andina,Sexta
15822,Tota,Boyacá,Andina,Sexta
15832,Tununguá,Boyacá,Andina,Sexta
15835,Turmequé,Boyacá,Andina,Sexta
15837,Tuta,Boyacá,Andina,Sexta
15839,Tutazá,Boyacá,Andina,Sexta
15842,Umbita,Boyacá,Andina,Sexta
15861,Ventaquemada,Boyacá,Andina,Sexta
15879,Viracachá,Boyacá,Andina,Sexta
15897,Zetaquira,Boyacá,Andina,Sexta
17001,Manizales,Caldas,Andina,Sexta
17013,Aguadas,Caldas,Andina,Sexta
17042,Anserma,Caldas,Andina,Sexta
17050,Aranzazu,Caldas,Andina,Sexta
17088,Belalcázar,Caldas,Andina,Sexta
17174,Chinchiná,Caldas,Andina,Sexta
17272,Filadelfia,Caldas,Andina,Sexta
17380,La Dorada,Caldas,Andina,Sexta
17388,La Merced,Caldas,Andina,Sexta
17433,Manzanares,Caldas,Andina,Sexta
17442,Marmato,Caldas,Andina,Sexta
17444,Marquetalia,Caldas,Andina,Sexta
17446,Marulanda,Caldas,Andina,Sexta
17486,Neira,Caldas,Andina,Sexta
17495,Norcasia,Caldas,Andina,Sexta
17513,Pácora,Caldas,Andina,Sexta
17524,Palestina,Caldas,Andina,Sexta
17541,Pensilvania,Caldas,Andina,Sexta
17614,Riosucio,Caldas,Andina,Sexta
17616,Risaralda,Caldas,Andina,Sexta
17653,Salamina,Caldas,Andina,Sexta
17662,Samaná,Caldas,Andina,Sexta
17665,San José,Caldas,Andina,Sexta
17777,Supía,Caldas,Andina,Sexta
17867,Victoria,Caldas,Andina,Sexta
17873,Villamaría,Caldas,Andina,Sexta
17877,Viterbo,Caldas,Andina,Sexta
18001,Florencia,Caquetá,Amazonia,Sexta
18029,Albania,Caquetá,Amazonia,Sexta
18094,Belén de los Andaquies,Caquetá,Amazonia,Sexta
18150,Cartagena del Chairá,Caquetá,Amazonia,Sexta
18205,Curillo,Caquetá,Amazonia,Sexta
18247,El Doncello,Caquetá,Amazonia,Sexta
18256,El Paujil,Caquetá,Amazonia,Sexta
